"","X","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"311",311,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1435741","OR",0.018,0.003,0.008,0.045
"312",312,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs56902655","OR",-0.022,0.004,0.013,0.065
"313",313,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2289791","OR",-0.018,0.003,0.001,0.052
"314",314,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs60833441","OR",-0.014,0.003,-0.085,0.045
"315",315,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62007780","OR",-0.016,0.003,-0.098,0.045
"316",316,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12442563","OR",-0.023,0.003,0.067,0.053
"317",317,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4310804","OR",-0.018,0.003,-0.009,0.052
"318",318,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs8027457","OR",0.015,0.003,0.024,0.045
"319",319,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1139897","OR",-0.024,0.003,-0.008,0.054
"320",320,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11076962","OR",0.018,0.003,-0.019,0.05
"321",321,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7192140","OR",-0.017,0.003,0.022,0.045
"322",322,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9922607","OR",-0.022,0.003,0.013,0.055
"323",323,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9941217","OR",-0.019,0.003,-0.046,0.047
"324",324,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7188873","OR",0.02,0.003,-0.012,0.046
"325",325,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6497840","OR",0.023,0.003,-0.002,0.049
"326",326,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4785187","OR",0.02,0.003,-0.007,0.054
"327",327,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs8050598","OR",0.019,0.003,0.035,0.052
"328",328,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs12918191","OR",-0.02,0.003,1e-100,0.052
"329",329,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9302604","OR",0.019,0.003,0.004,0.045
"330",330,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9936784","OR",0.014,0.003,0.071,0.045
"331",331,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62052916","OR",-0.032,0.005,-0.187,0.092
"332",332,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4788676","OR",-0.018,0.003,0.02,0.053
"333",333,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs61537885","OR",-0.04,0.007,-0.423,1.481
"334",334,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs117657830","OR",-0.038,0.006,-0.113,0.114
"335",335,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1050847","OR",-0.015,0.003,0.014,0.045
"336",336,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11642231","OR",-0.016,0.003,-0.039,0.046
"337",337,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4790874","OR",0.017,0.003,-0.007,0.045
"338",338,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11078713","OR",-0.015,0.003,-0.016,0.045
"339",339,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs28441558","OR",-0.036,0.006,-0.055,0.096
"340",340,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11651955","OR",-0.014,0.003,-0.002,0.045
"341",341,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs67777803","OR",-0.025,0.003,1e-100,0.059
"342",342,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2344976","OR",-0.015,0.003,-0.046,0.046
"343",343,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3764351","OR",-0.015,0.003,0.052,0.048
"344",344,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs72836318","OR",-0.017,0.003,-0.007,0.052
"345",345,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs17692129","OR",0.02,0.003,0.036,0.047
"346",346,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs75919030","OR",-0.021,0.003,-0.035,0.051
"347",347,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2938134","OR",-0.018,0.003,0.053,0.048
"348",348,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2587507","OR",-0.015,0.003,0.015,0.044
"349",349,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs34342129","OR",-0.014,0.003,-0.02,0.045
"350",350,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4476253","OR",-0.018,0.003,0.009,0.052
"351",351,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs7505855","OR",-0.017,0.003,-0.032,0.045
"352",352,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs8096225","OR",0.016,0.003,0.012,0.048
"353",353,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs67050670","OR",-0.02,0.003,0.004,0.053
"354",354,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs2359180","OR",-0.014,0.003,-0.206,0.079
"355",355,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs72898831","OR",-0.024,0.004,-0.018,0.061
"356",356,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs8083764","OR",-0.016,0.003,0.039,0.048
"357",357,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1373178","OR",-0.02,0.003,0.121,0.046
"358",358,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs62098013","OR",0.018,0.003,0.048,0.047
"359",359,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs72938304","OR",-0.027,0.004,-0.085,0.072
"360",360,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs11872397","OR",-0.017,0.003,0.089,0.05
"361",361,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs71367544","OR",0.021,0.003,-0.068,0.056
"362",362,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs76608582","OR",-0.035,0.006,0.026,0.108
"363",363,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs10853981","OR",0.015,0.003,0.038,0.047
"364",364,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs113230003","OR",-0.019,0.003,0.059,0.05
"365",365,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs8103660","OR",0.016,0.003,1e-100,0.047
"366",366,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs117734003","OR",0.03,0.005,-0.104,0.094
"367",367,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1126757","OR",0.014,0.003,-0.039,0.045
"368",368,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6050446","OR",0.054,0.008,-0.205,0.114
"369",369,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6058782","OR",0.03,0.004,-0.125,0.075
"370",370,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs1555445","OR",0.019,0.003,0.004,0.048
"371",371,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6073075","OR",-0.019,0.003,0.068,0.06
"372",372,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs910912","OR",-0.017,0.003,0.043,0.051
"373",373,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs6011779","OR",-0.019,0.003,-0.002,0.057
"374",374,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs3810496","OR",0.016,0.003,0.051,0.046
"375",375,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4818005","OR",-0.02,0.003,0.008,0.045
"376",376,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs139896","OR",0.015,0.003,-0.077,0.046
"377",377,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs4822102","OR",-0.017,0.003,0.014,0.046
"378",378,"Clift et al","@clift_smoking_2022","Outlier Included","Genetically Determined Smoking Initiation","COVID-19 Infection","rs9627272","OR",-0.015,0.003,0.028,0.046
"379",379,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10029034","OR",0.011737,0.00210704,-0.0537,0.0546
"380",380,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1009360","OR",-0.01848,0.00200785,-0.0778,0.0488
"381",381,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10152471","OR",-0.01352,0.00204778,0.0097,0.0485
"382",382,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10172544","OR",-0.01123,0.0020155,-0.0876,0.0495
"383",383,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10180284","OR",-0.01165,0.00198789,-0.0185,0.0478
"384",384,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10210970","OR",0.023256,0.00292788,0.0193,0.0616
"385",385,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10219951","OR",0.019279,0.00313261,-0.1174,0.0632
"386",386,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10242866","OR",0.015793,0.00202877,-0.0429,0.0522
"387",387,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10261878","OR",-0.02461,0.00437406,0.1424,0.142
"388",388,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1030472","OR",0.022676,0.00243475,0.0209,0.069
"389",389,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1037117","OR",0.017221,0.00229153,-0.0899,0.0532
"390",390,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1043764","OR",-0.01657,0.0025148,0.0238,0.0531
"391",391,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1045241","OR",-0.0207,0.00224699,-0.0056,0.0516
"392",392,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10455872","OR",-0.04436,0.00368335,0.0448,0.1154
"393",393,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1057868","OR",0.012404,0.00219776,0.0773,0.0489
"394",394,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1064725","OR",-0.0591,0.00515523,-0.0308,0.1181
"395",395,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10750766","OR",0.019386,0.00218742,0.0364,0.0545
"396",396,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10773049","OR",-0.02904,0.00203691,-0.0286,0.0486
"397",397,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10775406","OR",0.020657,0.00232578,-0.0497,0.0541
"398",398,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1077835","OR",0.047367,0.00240452,0.0199,0.0548
"399",399,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10792091","OR",0.017481,0.00286221,-0.0933,0.0798
"400",400,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10797119","OR",0.015711,0.00200465,0.1391,0.048
"401",401,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10811662","OR",-0.01541,0.0026291,-0.0021,0.0682
"402",402,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10863828","OR",-0.0129,0.00231241,0.0873,0.0552
"403",403,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10883451","OR",0.010828,0.00198508,-0.1049,0.0492
"404",404,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs10899490","OR",-0.01701,0.00269347,-0.1137,0.0602
"405",405,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11023160","OR",0.011988,0.00217303,0.0035,0.0497
"406",406,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11030107","OR",0.016042,0.00225693,0.086,0.0551
"407",407,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11045171","OR",-0.02502,0.00251023,0.0055,0.0583
"408",408,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11057397","OR",-0.0273,0.00210474,0.0164,0.0522
"409",409,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11078597","OR",0.019171,0.0025513,-0.0738,0.0612
"410",410,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11097128","OR",-0.0208,0.00328714,-0.0561,0.0614
"411",411,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11100083","OR",-0.01602,0.00237585,-0.1033,0.0611
"412",412,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11118310","OR",0.019318,0.00202011,-0.0286,0.0487
"413",413,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11122450","OR",-0.04817,0.0020373,0.0017,0.0483
"414",414,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs111500536","OR",-0.0419,0.00429302,-0.1065,0.1303
"415",415,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs111712708","OR",-0.01284,0.00204037,0.0205,0.0534
"416",416,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11185542","OR",-0.01264,0.00223848,0.1229,0.0522
"417",417,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs111914893","OR",0.02761,0.00456604,-0.0174,0.1687
"418",418,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11195952","OR",-0.02339,0.00309731,0.0671,0.0911
"419",419,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11206374","OR",0.025023,0.00237577,-0.0086,0.0585
"420",420,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11216101","OR",-0.0458,0.00626776,-0.0805,0.2406
"421",421,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11216122","OR",-0.04254,0.00448663,-0.0785,0.1081
"422",422,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs112162280","OR",-0.01266,0.00219763,0.0046,0.0519
"423",423,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs112259268","OR",0.139849,0.00601368,-0.2127,0.137
"424",424,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11228377","OR",-0.0154,0.00201809,-0.0273,0.0487
"425",425,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11231161","OR",0.016652,0.00205044,-0.0327,0.0561
"426",426,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11240358","OR",0.013565,0.00202953,0.0129,0.0496
"427",427,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs112740904","OR",-0.02549,0.00284086,0.0287,0.092
"428",428,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs112850234","OR",-0.05512,0.0096038,0.0918,0.3217
"429",429,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs112923502","OR",0.019364,0.00297319,-0.1365,0.0868
"430",430,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs112975989","OR",0.01514,0.00247162,0.0308,0.0581
"431",431,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs113131063","OR",-0.04327,0.00787251,0.4647,0.2851
"432",432,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1133400","OR",0.013746,0.00239759,0.0338,0.0635
"433",433,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs113439801","OR",-0.01742,0.00266157,-0.0398,0.0741
"434",434,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1135062","OR",-0.01752,0.00218572,-0.0123,0.0527
"435",435,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs114165349","OR",0.081813,0.00663594,0.0474,0.127
"436",436,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs114473447","OR",0.0572,0.00816838,0.3911,0.5273
"437",437,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs114796738","OR",0.024774,0.00447549,0.0418,0.1329
"438",438,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs114940462","OR",-0.06143,0.00486241,0.0238,0.1252
"439",439,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1149470","OR",-0.01388,0.00232728,-0.0482,0.0588
"440",440,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs115661421","OR",0.061812,0.0107711,-0.0864,0.1735
"441",441,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11598250","OR",0.012926,0.00235002,0.0864,0.0583
"442",442,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11620989","OR",0.011358,0.00204732,0.0029,0.0486
"443",443,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11629629","OR",0.012413,0.00207567,0.032,0.0517
"444",444,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11635675","OR",0.024072,0.00209475,-0.0157,0.049
"445",445,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11643980","OR",-0.014,0.00252656,0.0504,0.0591
"446",446,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11657201","OR",0.012971,0.00231998,0.1022,0.0636
"447",447,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11664106","OR",-0.01258,0.00210816,0.029,0.0515
"448",448,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs116843064","OR",-0.22651,0.00721009,-0.0356,0.1474
"449",449,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11688682","OR",-0.01486,0.0023048,-0.0874,0.0557
"450",450,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs116919951","OR",0.046891,0.00829993,0.0549,0.1634
"451",451,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs116995028","OR",0.176768,0.00883569,0.1537,0.2178
"452",452,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs116998829","OR",-0.02902,0.00500203,-0.1173,0.1743
"453",453,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117001569","OR",-0.09448,0.0108681,0.2177,0.1734
"454",454,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1171617","OR",0.015813,0.00235535,0.0027,0.0653
"455",455,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117233107","OR",-0.07323,0.0086122,-0.1193,0.205
"456",456,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117291242","OR",0.029785,0.00528225,0.0825,0.1066
"457",457,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117350303","OR",-0.07259,0.0105958,-0.0941,0.182
"458",458,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117619191","OR",0.08151,0.00691433,0.1244,0.2394
"459",459,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117664196","OR",-0.03832,0.00610149,-0.389,0.2239
"460",460,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11769620","OR",0.023441,0.00403422,0.0106,0.1021
"461",461,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117781948","OR",0.056978,0.00858998,0.1422,0.3036
"462",462,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1178982","OR",-0.04336,0.00378648,0.0459,0.1084
"463",463,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs117956669","OR",0.054454,0.00925949,0.0567,0.2014
"464",464,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11903847","OR",-0.0134,0.00213246,0.1241,0.0587
"465",465,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs11980456","OR",0.01239,0.00221234,0.6008,0.0524
"466",466,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12140153","OR",-0.02207,0.00348211,-0.0925,0.0892
"467",467,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12185242","OR",0.017527,0.00199898,0.0042,0.0478
"468",468,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12306007","OR",0.015674,0.00285535,-0.1215,0.0682
"469",469,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12369443","OR",-0.0138,0.00250434,-0.0041,0.0547
"470",470,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12415159","OR",0.021156,0.00283161,-0.1402,0.0716
"471",471,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12422600","OR",-0.01254,0.00207096,-0.0357,0.0486
"472",472,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12424054","OR",0.019121,0.00235346,-0.113,0.063
"473",473,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1242506","OR",-0.01389,0.00234551,-0.0129,0.0521
"474",474,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12440800","OR",0.0161,0.00229294,0.0729,0.0586
"475",475,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12446515","OR",-0.03342,0.00213589,0.0055,0.0537
"476",476,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12449427","OR",-0.01376,0.0022977,0.0198,0.0556
"477",477,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12454712","OR",-0.01235,0.00205393,-0.0379,0.0481
"478",478,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12470242","OR",0.023174,0.00261852,0.0239,0.053
"479",479,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12472667","OR",0.013745,0.00206009,-0.0228,0.0501
"480",480,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12479355","OR",-0.01929,0.00245303,0.0476,0.0632
"481",481,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12504746","OR",-0.01527,0.00252148,0.0539,0.0674
"482",482,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12530679","OR",-0.01213,0.00201682,-0.0042,0.0482
"483",483,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12574790","OR",0.184408,0.0103278,0.1872,0.3178
"484",484,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12591786","OR",-0.0176,0.00276287,0.0446,0.0802
"485",485,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12610373","OR",-0.01134,0.0020632,-0.0842,0.0506
"486",486,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12610709","OR",0.022387,0.00264596,-0.0303,0.0671
"487",487,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12669911","OR",-0.01185,0.00205405,-0.138,0.0522
"488",488,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12791103","OR",-0.07243,0.0033577,0.1545,0.075
"489",489,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs1281978","OR",-0.01137,0.0019901,0.007,0.0478
"490",490,"Xie et al","@xie_associations_2023","NAs imputed - max values","T2DM","NAFLD","rs12824533","OR",0.01295,0.00205472,0.0332,0.0494
