"","Author","Study_Ref","Study_DOI","Exposure","Outcome","Instrument","Reported_Measure","Coeff_G_X","Coeff_G_X_SE","Coeff_G_Y","Coeff_G_Y_SE"
"532","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1036477","OR",0.03,1e-100,0.02,0.04
"533","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10744956","OR",0.02,1e-100,-0.01,0.03
"534","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs16964211","OR",0.04,0.01,0.02,0.05
"535","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs782930","OR",0.02,1e-100,0.01,0.03
"536","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7177711","OR",0.02,1e-100,-0.03,0.02
"537","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7162825","OR",0.02,1e-100,0.05,0.02
"538","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17264185","OR",0.02,1e-100,-0.01,0.03
"539","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs731874","OR",0.02,1e-100,0.03,0.03
"540","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10152591","OR",0.04,0.01,-0.03,0.04
"541","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs975210","OR",0.03,1e-100,0.04,0.03
"542","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11634405","OR",0.02,1e-100,0.07,0.02
"543","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12904334","OR",0.09,0.01,0.1,0.1
"544","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs5742915","OR",0.04,1e-100,-0.04,0.02
"545","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12914466","OR",0.02,1e-100,0.03,0.02
"546","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2257011","OR",0.03,1e-100,-0.03,0.02
"547","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11855014","OR",0.02,1e-100,0.05,0.03
"548","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11633371","OR",0.02,1e-100,-0.02,0.02
"549","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs16942341","OR",0.11,0.01,0.03,0.07
"550","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2280470","OR",0.03,1e-100,1e-100,0.03
"551","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2238300","OR",0.02,1e-100,0.06,0.02
"552","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8028843","OR",0.02,1e-100,-0.05,0.02
"553","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7181724","OR",0.02,1e-100,0.02,0.02
"554","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2573625","OR",0.03,1e-100,-0.04,0.03
"555","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4246302","OR",0.03,1e-100,0.01,0.03
"556","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4548838","OR",0.03,1e-100,0.02,0.02
"557","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7170986","OR",0.02,1e-100,-0.01,0.03
"558","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8042424","OR",0.02,1e-100,-0.03,0.03
"559","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11648796","OR",0.03,1e-100,-0.07,0.03
"560","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12597498","OR",0.02,1e-100,1e-100,0.02
"561","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2531992","OR",0.02,1e-100,1e-100,0.03
"562","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs960006","OR",0.02,1e-100,-0.01,0.02
"563","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1659127","OR",0.03,1e-100,-0.03,0.03
"564","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2023693","OR",0.02,1e-100,0.04,0.02
"565","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11642612","OR",0.02,1e-100,0.01,0.02
"566","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4785393","OR",0.02,1e-100,-0.01,0.03
"567","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9929889","OR",0.02,1e-100,-0.04,0.02
"568","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8058684","OR",0.02,1e-100,0.04,0.03
"569","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs217181","OR",0.02,1e-100,-0.01,0.03
"570","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11640018","OR",0.02,1e-100,-0.09,0.02
"571","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4243206","OR",0.02,1e-100,0.04,0.03
"572","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2326458","OR",0.02,1e-100,-0.01,0.03
"573","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4843367","OR",0.02,1e-100,-0.04,0.03
"574","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs300039","OR",0.02,1e-100,0.02,0.03
"575","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8052560","OR",0.04,1e-100,0.02,0.03
"576","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2377058","OR",0.03,1e-100,-0.01,0.02
"577","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11861084","OR",0.02,1e-100,0.02,0.02
"578","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs870183","OR",0.02,1e-100,1e-100,0.02
"579","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9217","OR",0.03,1e-100,-0.04,0.03
"580","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8073177","OR",0.02,1e-100,0.04,0.03
"581","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1625895","OR",0.03,1e-100,-0.1,0.03
"582","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4640244","OR",0.03,1e-100,0.03,0.02
"583","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3809790","OR",0.02,1e-100,-0.01,0.02
"584","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9889755","OR",0.04,0.01,0.01,0.04
"585","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3760318","OR",0.05,1e-100,0.03,0.02
"586","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2028067","OR",0.03,1e-100,0.04,0.03
"587","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2338115","OR",0.02,1e-100,-0.03,0.02
"588","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs584828","OR",0.03,1e-100,1e-100,0.02
"589","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9766","OR",0.02,1e-100,-0.02,0.02
"590","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4986172","OR",0.04,1e-100,0.02,0.02
"591","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8073371","OR",0.03,1e-100,-0.04,0.03
"592","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs318095","OR",0.02,1e-100,0.03,0.02
"593","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1401795","OR",0.03,1e-100,0.05,0.02
"594","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2079795","OR",0.05,1e-100,-0.05,0.03
"595","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2378870","OR",0.02,1e-100,-0.01,0.02
"596","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2044124","OR",0.05,0.01,-0.05,0.05
"597","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2070776","OR",0.03,1e-100,-0.03,0.02
"598","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3923086","OR",0.03,1e-100,1e-100,0.02
"599","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2072268","OR",0.02,1e-100,-0.03,0.02
"600","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11867479","OR",0.03,1e-100,0.04,0.02
"601","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10083886","OR",0.02,1e-100,0.02,0.03
"602","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2117563","OR",0.02,1e-100,0.06,0.03
"603","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1552173","OR",0.02,1e-100,-0.01,0.02
"604","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1478610","OR",0.02,1e-100,0.04,0.03
"605","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4239020","OR",0.02,1e-100,0.04,0.03
"606","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs888403","OR",0.02,1e-100,-0.03,0.03
"607","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs692964","OR",0.02,1e-100,0.02,0.02
"608","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs14062","OR",0.02,1e-100,0.03,0.03
"609","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4369779","OR",0.06,1e-100,1e-100,0.03
"610","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11661645","OR",0.02,1e-100,-0.06,0.03
"611","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12454567","OR",0.03,1e-100,0.01,0.04
"612","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2337143","OR",0.02,1e-100,-0.03,0.03
"613","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs12458127","OR",0.04,0.01,-0.05,0.05
"614","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11152213","OR",0.03,1e-100,0.04,0.03
"615","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8097893","OR",0.04,0.01,-0.03,0.06
"616","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11659752","OR",0.02,1e-100,0.06,0.03
"617","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11880992","OR",0.03,1e-100,0.02,0.02
"618","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2074977","OR",0.03,1e-100,1e-100,0.03
"619","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2123731","OR",0.03,1e-100,0.01,0.03
"620","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs891088","OR",0.03,1e-100,-0.03,0.03
"621","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1346490","OR",0.02,1e-100,-0.04,0.02
"622","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6511689","OR",0.02,1e-100,-0.01,0.03
"623","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8102380","OR",0.02,1e-100,-0.03,0.03
"624","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7259684","OR",0.04,0.01,0.06,0.04
"625","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8103068","OR",0.03,1e-100,0.05,0.03
"626","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs10401193","OR",0.02,1e-100,0.02,0.03
"627","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8103992","OR",0.02,1e-100,-0.02,0.03
"628","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7253628","OR",0.02,1e-100,0.04,0.03
"629","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4802134","OR",0.03,1e-100,-0.01,0.03
"630","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4803468","OR",0.03,1e-100,0.02,0.02
"631","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11880124","OR",0.04,0.01,-0.05,0.04
"632","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2682587","OR",0.02,1e-100,0.02,0.03
"633","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2059877","OR",0.02,1e-100,-0.03,0.03
"634","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7273787","OR",0.02,1e-100,0.02,0.03
"635","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs17721822","OR",0.02,1e-100,-0.04,0.02
"636","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1884897","OR",0.04,1e-100,1e-100,0.02
"637","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6080830","OR",0.02,1e-100,0.01,0.02
"638","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs8117259","OR",0.02,1e-100,-0.02,0.03
"639","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6137287","OR",0.02,1e-100,0.03,0.03
"640","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1535466","OR",0.04,1e-100,0.01,0.03
"641","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs143384","OR",0.06,1e-100,-0.03,0.02
"642","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2425163","OR",0.04,1e-100,-0.01,0.03
"643","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs4812586","OR",0.03,1e-100,-0.01,0.03
"644","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2224538","OR",0.02,1e-100,0.01,0.02
"645","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6020202","OR",0.02,1e-100,0.02,0.03
"646","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs1326023","OR",0.02,1e-100,0.02,0.03
"647","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2057291","OR",0.02,1e-100,0.05,0.03
"648","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs3026499","OR",0.03,1e-100,0.02,0.03
"649","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs6061231","OR",0.02,1e-100,0.01,0.03
"650","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2829941","OR",0.02,1e-100,1e-100,0.02
"651","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs2211866","OR",0.02,1e-100,0.02,0.02
"652","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs9977276","OR",0.02,1e-100,0.01,0.03
"653","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs7284476","OR",0.02,1e-100,1e-100,0.02
"654","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs738288","OR",0.02,1e-100,-0.06,0.02
"655","Carreras-Torres et al","@carreras-torres_role_2017","10.1093/jnci/djx012","Height","Pancreatic Cancer","rs11090631","OR",0.02,1e-100,0.01,0.03
"656","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10006235","OR",-0.0093,0.0016,1e-100,0.0101
"657","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10009513","OR",0.0088,0.0014,-0.0071,0.0093
"658","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10021733","OR",-0.0164,0.0027,0.0039,0.0141
"659","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10032941","OR",-0.008,0.0015,0.0149,0.0095
"660","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10041403","OR",0.0151,0.0019,-0.0031,0.0131
"661","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10042828","OR",-0.0145,0.0022,0.0149,0.0158
"662","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10046069","OR",0.0127,0.0022,8e-04,0.0141
"663","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10057590","OR",0.0106,0.0014,-0.005,0.0095
"664","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10060023","OR",0.011,0.0015,-0.0028,0.0104
"665","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10061420","OR",0.0082,0.0014,0.0014,0.0095
"666","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1006749","OR",0.0079,0.0014,-0.0042,0.0097
"667","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10074178","OR",0.0079,0.0014,0.0011,0.0094
"668","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1007731","OR",-0.0143,0.0022,0.0114,0.0174
"669","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10080647","OR",0.0124,0.002,-0.0121,0.0125
"670","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1008078","OR",-0.0182,0.0014,0.0027,0.0096
"671","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1009470","OR",0.0086,0.0014,-0.0134,0.0092
"672","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10098073","OR",-0.0091,0.0014,2e-04,0.0098
"673","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10122669","OR",-0.0079,0.0014,-0.0017,0.0094
"674","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10128888","OR",-0.0083,0.0015,0.0217,0.0105
"675","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10145520","OR",-0.0122,0.0018,-0.0095,0.0119
"676","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10166286","OR",0.0151,0.0019,-0.0065,0.0116
"677","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10169002","OR",-0.008,0.0014,-0.003,0.0097
"678","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10181071","OR",0.0102,0.0019,0.0033,0.0132
"679","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10189857","OR",0.0158,0.0014,-0.0216,0.0097
"680","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10192369","OR",-0.0078,0.0014,0.0024,0.0099
"681","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10192834","OR",0.0083,0.0015,0.0021,0.0101
"682","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10193498","OR",0.0097,0.0016,0.0031,0.0108
"683","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10204051","OR",-0.0101,0.0014,0.0043,0.0101
"684","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10205057","OR",0.009,0.0014,-0.011,0.0095
"685","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10208","OR",0.0091,0.0015,-0.0022,0.01
"686","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10215082","OR",-0.0149,0.0014,0.0148,0.0098
"687","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1024268","OR",-0.0084,0.0014,0.006,0.0093
"688","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10251438","OR",0.0078,0.0014,-0.0268,0.0093
"689","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10264573","OR",0.0175,0.0032,0.0124,0.0216
"690","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1035578","OR",-0.0094,0.0014,-0.008,0.0095
"691","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10402747","OR",0.0077,0.0014,-0.035,0.0098
"692","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10411759","OR",0.0116,0.002,-0.005,0.0135
"693","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10444280","OR",0.01,0.0018,-5e-04,0.0119
"694","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10460095","OR",-0.0124,0.0014,0.0065,0.0095
"695","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10480450","OR",0.0158,0.0028,0.0051,0.0172
"696","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10496091","OR",-0.0131,0.0016,0.0171,0.0113
"697","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10499535","OR",0.008,0.0014,0.0085,0.0093
"698","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1050847","OR",0.0092,0.0014,-0.0262,0.0103
"699","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10509251","OR",-0.0093,0.0017,0.0215,0.0105
"700","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10515007","OR",0.0143,0.0019,-0.0127,0.012
"701","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1051860","OR",-0.0079,0.0014,0.0172,0.0096
"702","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs10519504","OR",0.0119,0.0019,-0.0111,0.0126
"703","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1054442","OR",-0.0136,0.0015,6e-04,0.0097
"704","Carter et al","@carter_understanding_2019","10.1136/bmj.l1855","Years of Education","Coronary Artery Disease","rs1061801","OR",-0.011,0.0018,0.0157,0.0125
